TimePST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,57.0,48.0,72,30.01,10.0,ESE,5.8,-,N/A,,Mostly Cloudy,120,2017-01-19 08:51:00
1:51 AM,57.0,48.0,72,30.04,10.0,SSW,8.1,-,N/A,,Mostly Cloudy,210,2017-01-19 09:51:00
2:48 AM,57.2,50.0,77,30.06,10.0,SSW,6.9,-,N/A,,Overcast,200,2017-01-19 10:48:00
2:51 AM,57.9,50.0,75,30.06,10.0,SSW,5.8,-,N/A,,Overcast,210,2017-01-19 10:51:00
3:08 AM,57.9,50.0,75,30.07,10.0,SW,9.2,-,N/A,,Overcast,220,2017-01-19 11:08:00
3:36 AM,57.9,50.0,75,30.06,10.0,South,6.9,-,N/A,,Overcast,180,2017-01-19 11:36:00
3:51 AM,59.0,50.0,72,30.05,10.0,South,9.2,-,N/A,,Overcast,190,2017-01-19 11:51:00
4:51 AM,57.9,51.1,78,30.03,5.0,South,16.1,-,0.00,Rain,Light Rain,180,2017-01-19 12:51:00
5:07 AM,57.0,52.0,83,30.03,3.0,South,12.7,-,0.00,Rain,Light Rain,180,2017-01-19 13:07:00
5:14 AM,55.9,52.0,87,30.02,2.5,South,12.7,-,0.01,Rain,Rain,170,2017-01-19 13:14:00
5:22 AM,55.9,52.0,87,30.02,3.0,South,12.7,-,0.01,Rain,Light Rain,170,2017-01-19 13:22:00
5:51 AM,57.0,53.1,87,30.01,4.0,South,15.0,-,0.03,Rain,Light Rain,170,2017-01-19 13:51:00
6:19 AM,57.0,54.0,89,30.02,2.5,SSW,15.0,-,0.02,Rain,Rain,200,2017-01-19 14:19:00
6:51 AM,57.0,54.0,89,30.01,2.5,South,17.3,-,0.04,Rain,Light Rain,190,2017-01-19 14:51:00
7:01 AM,57.0,54.0,89,30.00,3.0,South,15.0,-,0.00,Rain,Light Rain,190,2017-01-19 15:01:00
7:14 AM,57.0,54.0,89,30.00,2.5,South,16.1,26.5,0.01,Rain,Light Rain,190,2017-01-19 15:14:00
7:29 AM,57.9,54.0,87,30.00,2.0,SSW,12.7,-,0.02,Rain,Rain,200,2017-01-19 15:29:00
7:51 AM,57.9,54.0,87,30.01,2.0,SW,18.4,24.2,0.03,Rain,Light Rain,220,2017-01-19 15:51:00
8:05 AM,57.0,54.0,89,30.01,1.5,SSW,15.0,-,0.02,Rain,Light Rain,210,2017-01-19 16:05:00
8:24 AM,57.9,55.0,90,30.01,2.0,WSW,19.6,31.1,0.07,Rain,Light Rain,240,2017-01-19 16:24:00
8:37 AM,57.9,55.0,90,30.01,4.0,SW,16.1,26.5,0.07,Rain,Light Rain,230,2017-01-19 16:37:00
8:51 AM,59.0,55.0,87,30.01,2.0,SW,18.4,23.0,0.08,Rain,Light Rain,230,2017-01-19 16:51:00
9:02 AM,59.0,55.0,87,30.01,6.0,SW,15.0,-,0.00,Rain,Light Rain,230,2017-01-19 17:02:00
9:22 AM,59.0,55.0,87,30.02,10.0,SW,18.4,-,0.01,,Mostly Cloudy,230,2017-01-19 17:22:00
9:51 AM,61.0,55.9,83,30.02,10.0,WSW,16.1,-,0.01,,Mostly Cloudy,240,2017-01-19 17:51:00
10:20 AM,62.1,55.9,80,30.02,10.0,West,12.7,-,N/A,,Mostly Cloudy,280,2017-01-19 18:20:00
10:51 AM,62.1,55.0,78,30.02,10.0,West,15.0,23.0,N/A,,Mostly Cloudy,280,2017-01-19 18:51:00
11:51 AM,63.0,52.0,67,29.98,10.0,West,10.4,-,N/A,,Mostly Cloudy,260,2017-01-19 19:51:00
12:20 PM,63.0,52.0,67,29.98,10.0,West,12.7,-,N/A,,Mostly Cloudy,270,2017-01-19 20:20:00
12:51 PM,63.0,52.0,67,29.98,10.0,West,11.5,18.4,N/A,,Mostly Cloudy,270,2017-01-19 20:51:00
1:51 PM,64.0,51.1,63,29.98,10.0,West,11.5,20.7,N/A,,Mostly Cloudy,270,2017-01-19 21:51:00
2:45 PM,62.6,46.4,55,29.97,10.0,WNW,10.4,-,N/A,,Mostly Cloudy,290,2017-01-19 22:45:00
2:51 PM,62.1,46.9,58,29.97,10.0,WNW,8.1,-,N/A,,Mostly Cloudy,300,2017-01-19 22:51:00
3:27 PM,61.0,46.9,60,29.97,10.0,West,11.5,-,N/A,,Mostly Cloudy,280,2017-01-19 23:27:00
3:51 PM,60.1,46.9,62,29.96,10.0,WNW,8.1,-,N/A,,Mostly Cloudy,290,2017-01-19 23:51:00
4:51 PM,59.0,48.0,67,29.96,10.0,WNW,5.8,-,N/A,,Scattered Clouds,290,2017-01-20 00:51:00
5:51 PM,59.0,46.9,64,29.96,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2017-01-20 01:51:00
6:51 PM,59.0,48.0,67,29.97,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2017-01-20 02:51:00
7:51 PM,57.9,48.9,72,29.96,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2017-01-20 03:51:00
