TimePST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:49 AM,51.8,46.4,82,30.20,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-18 08:49:00
12:51 AM,52.0,46.0,80,30.19,10.0,North,3.5,-,N/A,,Mostly Cloudy,360,2017-01-18 08:51:00
1:51 AM,52.0,45.0,77,30.18,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-18 09:51:00
2:51 AM,53.1,45.0,74,30.17,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-18 10:51:00
3:13 AM,53.1,45.0,74,30.17,10.0,North,3.5,-,N/A,,Scattered Clouds,360,2017-01-18 11:13:00
3:51 AM,52.0,45.0,77,30.18,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2017-01-18 11:51:00
4:51 AM,51.1,44.1,77,30.17,10.0,ESE,3.5,-,N/A,,Scattered Clouds,110,2017-01-18 12:51:00
5:51 AM,51.1,43.0,74,30.18,10.0,ESE,4.6,-,N/A,,Mostly Cloudy,110,2017-01-18 13:51:00
6:51 AM,51.1,42.1,71,30.19,10.0,ENE,4.6,-,N/A,,Mostly Cloudy,70,2017-01-18 14:51:00
7:51 AM,53.1,43.0,69,30.20,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2017-01-18 15:51:00
8:32 AM,54.0,42.1,64,30.21,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-18 16:32:00
8:51 AM,55.0,43.0,64,30.22,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-18 16:51:00
9:04 AM,55.0,43.0,64,30.22,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-18 17:04:00
9:28 AM,55.9,44.1,64,30.23,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-18 17:28:00
9:51 AM,55.9,43.0,62,30.23,10.0,SSW,3.5,-,N/A,,Mostly Cloudy,210,2017-01-18 17:51:00
10:51 AM,59.0,45.0,60,30.20,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-18 18:51:00
10:53 AM,59.0,46.0,62,30.20,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-18 18:53:00
11:42 AM,62.1,48.0,60,30.17,10.0,NW,9.2,-,N/A,,Mostly Cloudy,310,2017-01-18 19:42:00
11:51 AM,61.0,46.9,60,30.17,10.0,WSW,8.1,-,N/A,,Mostly Cloudy,250,2017-01-18 19:51:00
12:29 PM,62.1,46.9,58,30.14,10.0,NW,5.8,-,N/A,,Mostly Cloudy,320,2017-01-18 20:29:00
12:51 PM,62.1,48.0,60,30.12,10.0,West,8.1,-,N/A,,Mostly Cloudy,260,2017-01-18 20:51:00
1:51 PM,62.1,48.0,60,30.10,10.0,West,4.6,-,N/A,,Mostly Cloudy,270,2017-01-18 21:51:00
2:51 PM,60.1,48.9,67,30.11,10.0,NW,8.1,-,N/A,,Mostly Cloudy,310,2017-01-18 22:51:00
3:51 PM,60.1,48.9,67,30.14,10.0,WNW,9.2,-,N/A,,Mostly Cloudy,300,2017-01-18 23:51:00
4:51 PM,59.0,50.0,72,30.14,10.0,WNW,10.4,-,N/A,,Mostly Cloudy,290,2017-01-19 00:51:00
5:02 PM,59.0,48.9,69,30.15,10.0,NW,8.1,-,N/A,,Mostly Cloudy,310,2017-01-19 01:02:00
5:51 PM,59.0,48.9,69,30.17,10.0,NNW,8.1,-,N/A,,Mostly Cloudy,330,2017-01-19 01:51:00
6:51 PM,59.0,48.0,67,30.18,10.0,NNW,5.8,-,N/A,,Mostly Cloudy,330,2017-01-19 02:51:00
7:47 PM,59.0,46.4,63,30.17,10.0,North,4.6,-,N/A,,Mostly Cloudy,360,2017-01-19 03:47:00
7:51 PM,59.0,46.9,64,30.17,10.0,North,4.6,-,N/A,,Mostly Cloudy,350,2017-01-19 03:51:00
8:51 PM,57.9,48.9,72,30.16,10.0,Calm,Calm,-,0.00,Rain,Light Rain,0,2017-01-19 04:51:00
9:51 PM,57.0,48.9,74,30.14,10.0,SSE,6.9,-,0.00,Rain,Light Rain,150,2017-01-19 05:51:00
10:51 PM,57.0,50.0,77,30.09,10.0,SE,11.5,-,0.00,Rain,Light Rain,130,2017-01-19 06:51:00
11:51 PM,57.0,50.0,77,30.06,10.0,SE,10.4,-,0.00,,Overcast,140,2017-01-19 07:51:00
