TimePST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,52.0,46.0,80,29.90,10.0,North,4.6,-,0.01,,Mostly Cloudy,10,2017-01-01 08:51:00
1:51 AM,51.1,46.9,86,29.90,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-01 09:51:00
2:51 AM,51.1,46.9,86,29.91,10.0,ENE,3.5,-,N/A,,Mostly Cloudy,70,2017-01-01 10:51:00
3:51 AM,50.0,46.0,86,29.90,9.0,Calm,Calm,-,0.00,,Mostly Cloudy,0,2017-01-01 11:51:00
4:51 AM,50.0,45.0,83,29.91,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2017-01-01 12:51:00
5:51 AM,50.0,45.0,83,29.93,10.0,ENE,3.5,-,N/A,,Mostly Cloudy,70,2017-01-01 13:51:00
6:51 AM,50.0,44.1,80,29.94,10.0,East,5.8,-,N/A,,Scattered Clouds,100,2017-01-01 14:51:00
7:51 AM,50.0,44.1,80,29.95,10.0,East,3.5,-,N/A,,Scattered Clouds,90,2017-01-01 15:51:00
8:51 AM,53.1,45.0,74,29.98,10.0,SE,5.8,-,N/A,,Scattered Clouds,130,2017-01-01 16:51:00
9:51 AM,55.0,44.1,67,29.99,10.0,South,5.8,-,N/A,,Scattered Clouds,180,2017-01-01 17:51:00
10:51 AM,57.9,44.1,60,29.98,10.0,SE,5.8,-,N/A,,Mostly Cloudy,130,2017-01-01 18:51:00
11:51 AM,57.9,42.1,56,29.96,10.0,South,9.2,-,N/A,,Mostly Cloudy,170,2017-01-01 19:51:00
12:51 PM,57.9,42.1,56,29.97,10.0,South,11.5,-,N/A,,Mostly Cloudy,190,2017-01-01 20:51:00
1:51 PM,59.0,43.0,55,29.97,10.0,South,10.4,-,N/A,,Mostly Cloudy,190,2017-01-01 21:51:00
2:51 PM,59.0,42.1,53,29.99,10.0,SW,8.1,-,N/A,,Mostly Cloudy,230,2017-01-01 22:51:00
3:51 PM,57.9,42.1,56,29.99,10.0,SSW,9.2,-,N/A,,Mostly Cloudy,200,2017-01-01 23:51:00
4:51 PM,57.0,43.0,59,29.99,10.0,South,5.8,-,N/A,,Mostly Cloudy,180,2017-01-02 00:51:00
5:51 PM,57.0,44.1,62,29.99,10.0,South,6.9,-,N/A,,Mostly Cloudy,170,2017-01-02 01:51:00
6:51 PM,57.0,45.0,64,30.01,10.0,South,6.9,-,N/A,,Mostly Cloudy,170,2017-01-02 02:51:00
7:51 PM,57.0,46.0,67,30.04,10.0,SE,8.1,-,N/A,,Mostly Cloudy,140,2017-01-02 03:51:00
8:51 PM,55.9,45.0,67,30.04,10.0,ESE,6.9,-,N/A,,Overcast,120,2017-01-02 04:51:00
9:51 PM,55.9,45.0,67,30.06,10.0,ESE,4.6,-,N/A,,Mostly Cloudy,120,2017-01-02 05:51:00
10:51 PM,55.9,45.0,67,30.06,10.0,East,4.6,-,N/A,,Mostly Cloudy,80,2017-01-02 06:51:00
11:51 PM,55.9,45.0,67,30.05,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2017-01-02 07:51:00
